Город;Ведущий факультет;Ведущая кафедра;Направление;профиль;Группа;ФО;Код дисциплины;Дисциплина;Курс;Семестр;Суд Бюдж;Студ Ком;Студ сум;Поток (название /номер);ур (03-бак, 04-маг, 05-спец, 06-асп);Учитывать;ЗЕ;практи Маг;практи Бак, Спец;НИР Маг;НИР Бак, Спец;практ Асп;НИР Aсп;НИР и прак сум;лекции без потока;лекции с потоком;Текущие консультации;Практические занятия;лабораторные;КР в часах;КП в часах;Коллокв в часах;РГР в часах;Реферат ;Зачет в часах;ЗаО в часах;ЗаО по практикам (не сумминуется в итоговой сумме, выделен для информации);Экзамен в часах;Экз Консульт;Б;К;итого;Выпускающий факультет;Выпускающая кафедра;Кафедры до реорганизации;ПЛАН (без изменений или новый в 2021);Примечания при наличии изменений
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;09.06.01 Информатика и вычислительная техника;0;051318-19;Очная;Б3.Б.01;Государственный экзамен;4;Восьмой семестр;1;0;1;;6;1;3;0;0;0;0;0;0;0;0;0;0;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;ФИРТ;Кафедра вычислительной математики и кибернетики;ВМиК;;Изменила на ВВТиС — аспирант Белевцев
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;01.06.01 Математика и механика;0;ММ-1010102-21А;Очная;Б1.В.ДВ.01.01;Аналитические методы исследования математических моделей;2;Третий семестр;2;0;2;;6;1;3;0;0;0;0;0;0;0;6;6;0.6;8.00;0.00;0;0;0;0;0;0;0.7;0;0;0;15.30;0.00;15.30;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;0;;0
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;02.04.01 Математика и компьютерные науки;0;МКН-102М;Очная;Б1.О.12;Численные методы решения прикладных задач;1;Первый семестр;15;0;15;;4;1;6;0;0;0;0;0;0;0;22;22;02.фев;40.00;0.00;0;0;0;0;0;0;0;0;06.май;2;72.70;0.00;72.70;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;0;;0
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;01.03.02 Прикладная математика и информатика;0;ПМИ-354;Очная;Б1.В.04;Базы данных;3;Шестой семестр;20;2;22;151;3;1;2;0;0;0;0;0;0;0;14;4.666666667;01.апр;0.00;40.00;0;0;0;0;0;05.май;0;0;0;0;46.88;апр.69;51.57;ФИРТ;Кафедра искусственного интеллекта и перспективных математических исследований;0;;0
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;01.03.02 Прикладная математика и информатика;0;ПМИ-256;Очная;Б1.В.09;Операционные системы и сети;2;Четвертый семестр;23;0;23;143;3;1;3;0;0;0;0;0;0;0;20;6.666666667;2;0.00;40.00;0;0;0;0;0;май.75;0;0;0;0;54.42;0.00;54.42;ФИРТ;Кафедра искусственного интеллекта и перспективных математических исследований;0;;0
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;09.06.01 Информатика и вычислительная техника;0;051318-19;Очная;Б2.В.02;Научные исследования;4;Седьмой семестр;1;0;1;;6;1;30;0;0;0;0;0;30;30;0;0;0;0.00;0.00;0;03.май;0;0;0;0;0;0;0;0;33.50;0.00;33.50;ФИРТ;Кафедра вычислительной математики и кибернетики;ВМиК;;Изменила на ВВТиС — аспирант Белевцев
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;09.06.01 Информатика и вычислительная техника;0;051318-19;Очная;Б2.В.02;Научные исследования;4;Восьмой семестр;1;0;1;;6;1;21;0;0;0;0;0;21;21;0;0;0;0.00;0.00;0;0;0;0;0;0;0.35;0;0;0;21.35;0.00;21.35;ФИРТ;Кафедра вычислительной математики и кибернетики;ВМиК;;Изменила на ВВТиС — аспирант Белевцев
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;09.06.01 Информатика и вычислительная техника;0;051318-19;Очная;Б3.Б.02;Представление научного доклада по выпускной научно-квалификационной работе;4;Восьмой семестр;1;0;1;;6;1;6;0;0;0;0;0;0;0;0;0;0;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;ФИРТ;Кафедра вычислительной математики и кибернетики;ВМиК;;Изменила на ВВТиС — аспирант Белевцев
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;01.06.01 Математика и механика;0;ММ-1010102-21А;Очная;Б1.В.03;Модуль: Дифференциальные уравнения, динамические системы и оптимальное управление;2;Третий семестр;2;0;2;;6;1;3;0;0;0;0;0;0;0;6;6;0.6;8.00;0.00;0;0;0;0;0;0;0.7;0;0;0;15.30;0.00;15.30;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;0;;0
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;01.06.01 Математика и механика;0;ММ-1010102-21А;Очная;Б1.В.ДВ.01.01;Аналитические методы исследования математических моделей;2;Четвертый семестр;2;0;2;;6;1;4;0;0;0;0;0;0;0;4;4;0.4;6.00;0.00;0;0;0;0;0;0;0;0;02.июн;2;15.00;0.00;15.00;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;0;;0
